AREA,Gross Value Added,VAT/PAYE registered enterprises,Small businesses,VAT/PAYE (Business Births),"VAT/PAYE (Business Births) per 10,000 adults",VAT/PAYE (Business Deaths),"VAT/PAYE (Business Deaths) per 10,000 adults",3-year business survival,3-year business survival rate,Foreign-owned enterprises,Foreign-owned enterprises (EU),Foreign-owned business jobs,Foreign-owned business jobs (EU),International Exports Value,International Exports Value (EU),BERD,BERD Jobs,High growth enterprises,VAT/PAYE Businesses Jobs,Employment,Working age employment rate,Working age employment rate (95% CI),Self-employed,Self-employed rate,Self-employed (95% CI),Self-employed Females,Self-employed Females rate,Self-employed Females rate (95% CI),Unemployment,Unemployment rate,Unemployment rate (95% CI),Median gross weekly pay (RA),Median gross weekly pay (RA) (SE),Median gross weekly pay (WE),Median gross weekly pay (WE) (SE),Population,Population (16+),Population (16-64)
Aberdeen City,47500,9615,0.25,1135,58.89,1071,55.57,580,0.53,725,280,0.3,0.09,3095,1010,134.39,1650,165,175000,"128,200",0.79,0.03,"12,900",0.1,0.03,"5,300",0.09,0.04,"4,100",0.03,0.008,599.4,4.2,646.5,4,"228,670","193,247","157,090"
Aberdeenshire,28401,14270,0.54,1100,51.78,990,46.6,705,0.62,240,90,0.15,0.04,3175,985,36.82,484,120,114000,"138,400",0.81,0.03,"18,300",0.13,0.03,"5,200",0.08,0.03,"3,300",0.02,0.006,629.9,4.9,570.7,3.6,"261,210","212,194","161,121"
Angus,16451,4170,0.52,365,37.71,340,35.13,225,0.58,80,35,0.13,0.04,355,150,4.46,85,55,39000,"54,700",0.76,0.03,"7,900",0.14,0.03,"2,800",0.11,0.04,"1,800",0.03,0.008,550.1,4.1,490.3,6.9,"116,200","97,055","69,265"
Argyll and Bute,22108,4025,0.56,290,39.6,265,36.18,165,0.59,65,25,0.1,0.02,340,160,1.94,43,50,40000,"40,000",0.75,0.03,"8,200",0.21,0.03,"3,000",0.16,0.04,"1,200",0.03,0.008,519.8,8.6,536.2,10,"85,870","72,964","50,754"
City of Edinburgh,47632,20500,0.27,2820,64.09,2350,53.41,1665,0.54,765,315,0.19,0.09,4090,1400,471.59,4209,400,353000,"273,200",0.75,0.03,"37,000",0.14,0.03,"15,600",0.12,0.04,"7,200",0.03,0.007,616.9,3.3,618.4,2.7,"524,930","445,863","366,508"
Clackmannanshire,19728,1265,0.39,130,30.65,140,33,90,0.55,45,20,0.16,0.06,470,145,2.52,30,30,15000,"24,100",0.74,0.04,"2,000",0.08,0.03,"1,100",0.1,0.05,800,0.03,0.009,553.5,9.9,547,9.8,"51,540","42,594","32,133"
Dumfries and Galloway,20089,6725,0.53,395,31.51,315,25.13,235,0.6,140,55,0.09,0.04,390,310,6.73,122,90,68000,"68,600",0.75,0.04,"12,900",0.19,0.04,"3,800",0.12,0.04,"2,200",0.03,0.008,480.8,5.3,470.3,5.7,"148,860","125,617","87,047"
Dundee City,24215,3855,0.31,510,40.89,445,35.68,230,0.48,190,80,0.16,0.06,700,465,47.5,702,115,77000,"66,900",0.69,0.03,"8,500",0.13,0.03,"3,200",0.1,0.03,"3,800",0.05,0.012,543.3,4.3,579,3.7,"149,320","125,276","99,209"
East Ayrshire,13345,3475,0.47,365,36.24,335,33.26,230,0.59,90,50,0.15,0.08,220,95,2.64,66,60,43000,"57,100",0.74,0.04,"8,300",0.15,0.03,"2,400",0.09,0.04,"2,700",0.05,0.011,597.8,6.6,570.8,7.5,"122,010","100,957","76,005"
East Dunbartonshire,13320,3200,0.46,365,40.96,330,37.03,225,0.56,55,25,0.16,0.05,85,50,,,40,27000,"52,000",0.78,0.03,"6,100",0.12,0.02,"2,700",0.1,0.03,"1,400",0.03,0.006,700.6,5.4,509.7,12,"108,640","89,242","64,766"
East Lothian,16571,3415,0.49,340,39.33,290,33.55,230,0.61,70,35,0.15,0.07,160,65,7.71,139,60,33000,"53,200",0.79,0.03,"5,600",0.11,0.03,"1,600",0.06,0.03,"1,500",0.03,0.007,658.8,6.6,576.3,8.3,"107,090","87,390","65,659"
East Renfrewshire,11022,2810,0.53,360,47.46,330,43.51,220,0.59,40,20,0.07,0.01,45,20,3.56,70,35,23000,"43,900",0.73,0.04,"5,700",0.13,0.03,"1,900",0.09,0.04,"1,200",0.03,0.007,787.9,5.8,491.9,8.8,"95,530","76,005","56,819"
Falkirk,25720,4195,0.33,495,37.47,455,34.44,285,0.56,170,85,0.25,0.07,2710,2115,10.36,158,80,67000,"76,700",0.74,0.03,"6,500",0.09,0.02,"3,300",0.09,0.03,"3,000",0.04,0.009,559.9,3.6,591,4.8,"160,890","132,778","102,329"
Fife,19424,10355,0.39,1225,39.85,1185,38.54,730,0.58,235,100,0.18,0.05,2360,1275,45.18,656,160,139000,"172,000",0.74,0.03,"21,400",0.12,0.03,"7,600",0.09,0.03,"7,300",0.04,0.01,564.4,3.2,546.2,3.7,"373,550","308,998","231,974"
