Area,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City,24804,24936,25621,27828,29452,30079,31864,33499,38210,42100,45935,45060,46125,46678,50136,52856,53289,50349,45640,44991,47500
Aberdeenshire,15507,15385,15884,17031,17624,17457,18156,18811,20947,22791,24243,23801,23848,24727,25192,26822,28469,28455,27484,28170,28401
Angus,9573,9858,10326,10769,11221,11904,12317,12592,14018,14233,14255,13812,13829,13907,15712,16115,17029,16373,17980,15738,16451
Argyll and Bute,10472,11054,11466,12147,12371,13373,14562,15807,16267,16698,17740,18021,18111,19015,20170,19659,20673,20198,20475,22037,22108
City of Edinburgh,21650,21760,23277,24943,27028,29715,32198,34521,35576,37802,37366,38517,36801,36645,38402,39718,40799,41282,43861,45593,47632
Clackmannanshire,8882,9328,9757,9965,10532,11467,12202,13019,14009,14644,15003,14603,14066,14466,14392,14684,16546,18107,19085,18756,19728
Dumfries and Galloway,11019,11280,11895,12613,12927,13499,14055,14029,15043,15069,15727,15507,15295,15679,16136,17401,17978,17886,18814,19725,20089
Dundee City,12654,12955,14160,14891,15730,16921,18022,18726,19336,19680,20085,19942,0,20571,22513,22377,22784,22725,22850,24074,24215
East Ayrshire,8041,8212,8683,9135,9515,9887,10315,10974,11765,11757,12146,11858,11568,11590,11945,11574,12347,12404,12725,13425,13345
East Dunbartonshire,6447,6653,6877,7215,7452,7813,8213,8789,9177,9100,9329,8965,8788,9200,9813,10091,11030,11761,12023,12614,13320
East Lothian,9009,9023,9243,9481,9993,10498,10936,11183,12136,12431,12331,11918,12265,12590,13068,14498,14810,15206,15602,15996,16571
East Renfrewshire,5934,6055,6301,6465,6716,6921,7317,7265,7588,7469,8067,7646,7997,7918,8546,9483,9945,10351,10201,11144,11022
Falkirk,13963,13820,14456,15179,15844,16764,17492,19017,20637,20096,20908,20907,20376,21267,21518,23034,23362,22580,22481,23406,25720
Fife,11944,12048,12459,12688,13192,13957,14372,14623,15848,16536,17248,16792,16858,17090,16559,17408,18364,19015,19542,19563,19424
Glasgow City,18044,18501,19121,20318,21082,22488,24182,26343,27736,28631,29332,28947,27700,28336,28874,30011,30438,30351,30957,31667,32632
Highland,13550,14331,14790,15676,15956,17501,18633,19531,20265,20272,20906,20372,21046,21897,22586,24054,24558,24779,25753,26750,27265
Inverclyde,10240,9648,10206,10624,11704,12053,13145,13474,13788,13725,14561,14375,14084,14787,13831,13966,15509,15270,16018,16239,14971
Midlothian,8225,8520,9222,9561,10015,10663,11205,11705,11764,12206,12606,12210,12275,12678,13224,14756,15437,16146,16860,17061,17605
Moray,12995,13145,13226,13379,13867,14781,15540,16249,17250,18121,19787,19923,19458,20798,20392,20899,20724,20982,20901,22781,22885
Na h-Eileanan Siar,10276,11172,11571,12741,13017,14264,15385,16376,16778,17126,18072,18125,18696,19610,19303,18796,19743,19579,19331,19926,21133
North Ayrshire,8649,8873,9255,9365,9243,9632,9832,10418,11229,11221,11805,11536,11872,11927,12546,13678,14097,14023,14637,14464,14777
North Lanarkshire,11037,11119,11649,12376,12796,13380,14050,14740,15480,15301,16197,15760,15707,15924,16464,17360,19497,19659,20319,21829,22347
Orkney Islands,15978,17147,18092,19407,19452,21085,23046,24763,24926,25705,26905,27603,27757,29178,29540,26809,26923,27965,27094,28000,28571
Perth and Kinross,17395,16679,16270,16428,17346,18263,19094,19680,22141,22177,22322,23308,22946,23507,25030,27286,28302,28867,29241,29113,28502
Renfrewshire,12486,12512,13024,13717,14335,14910,15670,16310,17411,17164,18269,17877,17795,18323,18193,19265,20829,21735,20656,21275,22408
Scottish Borders,11128,11020,11351,11669,11959,12151,12563,12354,13152,13155,13488,13249,13527,13795,14237,14875,15994,16101,16729,17832,18400
Shetland Islands,19031,19991,20198,21585,21909,23508,25351,26652,28186,28143,29804,31930,31483,32100,31064,32629,36520,33707,31595,34835,33145
South Ayrshire,9795,9960,10535,10958,11586,11959,12572,13113,13934,13908,14723,14615,14991,14994,14488,14096,15347,16103,16849,17545,17610
South Lanarkshire,9900,9938,10090,10435,10926,11507,11977,12687,13811,13780,14622,14383,13925,14368,14720,15679,16264,16191,16805,17289,17265
Stirling,16179,16594,17305,18527,19162,20852,22112,23769,23862,26202,25751,25764,25282,23879,25151,26888,26442,26069,25856,27989,28326
West Dunbartonshire,8965,9182,9741,10523,10963,11604,12560,13427,14309,14261,15046,14888,14857,15451,15021,15145,17010,17212,17427,19473,19219
West Lothian,17245,17815,17975,18148,19255,20137,21530,21744,23182,23798,24640,23104,23597,24450,22561,21617,22624,25108,25237,26149,26721
