Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City,377,436,406,429,475,583,510,479,451,418,730,839,951,1746,1593,1661,1498,1650
Aberdeenshire,108,168,121,158,225,174,134,151,187,306,348,333,251,301,308,382,519,484
Angus,25,,31,42,47,37,45,28,35,52,59,42,48,61,58,78,99,85
Argyll and Bute,25,22,23,,11,9,10,33,26,35,53,,,,34,37,43,43
City of Edinburgh,2308,1627,1423,1501,1251,1196,1881,1529,1652,1816,1560,1663,1872,2644,2930,2967,3380,4209
Clackmannanshire,,,,,17,17,12,4,,11,22,,14,33,43,39,31,30
Dumfries and Galloway,24,47,74,37,48,66,55,47,38,60,79,90,86,98,91,118,134,122
Dundee City,602,663,586,666,604,575,562,550,486,492,417,359,,475,606,783,569,702
East Ayrshire,37,38,30,42,44,41,33,31,25,21,22,21,22,39,,87,80,66
East Dunbartonshire,17,29,26,19,18,19,,7,,,24,28,28,28,35,37,45,
East Lothian,280,138,,78,60,72,,24,163,93,,,38,68,87,71,99,139
East Renfrewshire,,,,,23,35,,,,29,56,42,51,53,65,59,67,70
Falkirk,306,251,273,182,124,75,128,97,70,97,91,153,135,188,101,145,152,158
Fife,259,306,254,285,297,185,214,303,246,286,303,346,339,345,384,376,525,656
Glasgow City,227,310,287,441,441,427,371,472,626,643,833,759,1210,1048,1333,1405,1539,1518
Highland,103,139,166,128,143,210,179,234,146,149,187,204,219,221,250,260,269,261
Inverclyde,,,,,,,59,61,73,63,58,49,47,51,54,54,42,63
Midlothian,124,297,256,81,59,33,144,249,175,222,223,200,241,187,246,265,291,301
Moray,6,20,17,19,16,18,24,29,31,60,76,61,70,43,46,40,81,85
Na h-Eileanan Siar,,,,,,,,,,,,,,,,,,
North Ayrshire,40,16,17,36,18,24,50,50,58,60,62,85,85,72,101,98,138,127
North Lanarkshire,634,914,670,539,708,666,790,812,896,818,704,747,717,768,800,873,825,874
Orkney Islands,,,,,,,,,,,,,,,,,,33
Perth and Kinross,14,21,14,18,22,25,24,17,26,33,46,48,47,103,101,102,116,99
Renfrewshire,203,213,200,194,251,230,462,336,347,269,316,360,372,349,326,343,358,352
Scottish Borders,38,30,32,73,38,45,66,92,84,116,108,133,133,134,118,114,151,143
Shetland Islands,,,,,,,,,,,,,,,,,,
South Ayrshire,,31,,18,23,16,44,44,78,131,98,126,100,97,82,139,140,192
South Lanarkshire,393,472,515,359,434,389,290,269,269,237,363,316,324,330,318,369,405,420
Stirling,23,51,41,43,45,30,59,72,62,155,77,86,67,96,103,125,138,183
West Dunbartonshire,,64,58,54,53,36,26,37,45,37,41,105,71,72,86,114,125,111
West Lothian,900,841,758,844,967,1009,683,604,637,713,773,1012,1627,1194,1496,1328,1361,1505
