Area,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,215,250,295,290,225,180,165
Aberdeenshire,100,140,185,185,140,115,120
Angus,50,55,65,65,60,50,55
Argyll and Bute,45,50,60,65,65,65,50
City of Edinburgh,265,280,340,400,430,395,400
Clackmannanshire,20,20,15,25,35,30,30
Dumfries and Galloway,75,70,100,105,110,85,90
Dundee City,70,85,105,110,115,110,115
East Ayrshire,45,50,65,55,65,60,60
East Dunbartonshire,30,40,45,45,50,50,40
East Lothian,40,35,50,60,50,50,60
East Renfrewshire,15,20,25,30,35,35,35
Falkirk,60,55,80,80,90,90,80
Fife,115,120,155,150,165,150,160
Glasgow City,265,320,375,445,465,435,455
Highland,130,140,165,175,170,165,160
Inverclyde,40,30,45,40,45,35,35
Midlothian,40,35,60,60,60,55,60
Moray,45,55,55,70,60,55,55
Na h-Eileanan Siar,15,15,20,25,25,20,15
North Ayrshire,55,55,65,65,60,60,65
North Lanarkshire,110,125,165,170,175,170,155
Orkney Islands,15,10,15,15,15,15,10
Perth and Kinross,80,75,95,100,105,105,95
Renfrewshire,90,100,100,105,120,115,125
Scottish Borders,45,50,60,55,55,55,65
Shetland Islands,20,20,30,25,35,25,15
South Ayrshire,65,75,75,70,80,90,80
South Lanarkshire,120,145,140,155,170,150,155
Stirling,75,70,70,65,90,90,90
West Dunbartonshire,40,40,40,40,40,35,35
West Lothian,115,120,105,145,125,135,140
