Area,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City,182000,176000,178000,181000,182000,193000,185000,177000,174000,175000
Aberdeenshire,104000,102000,112000,111000,111000,115000,116000,114000,115000,114000
Angus,40000,38000,39000,37000,38000,39000,39000,38000,39000,39000
Argyll and Bute,42000,41000,42000,40000,40000,41000,40000,41000,40000,40000
City of Edinburgh,316000,306000,322000,326000,316000,324000,326000,330000,334000,353000
Clackmannanshire,16000,15000,15000,15000,16000,16000,16000,16000,15000,15000
Dumfries and Galloway,66000,66000,68000,64000,65000,67000,67000,68000,67000,68000
Dundee City,77000,75000,74000,73000,74000,75000,75000,78000,77000,77000
East Ayrshire,44000,44000,44000,42000,41000,43000,43000,44000,43000,43000
East Dunbartonshire,24000,23000,24000,24000,25000,26000,27000,27000,27000,27000
East Lothian,28000,28000,29000,28000,29000,29000,30000,31000,31000,33000
East Renfrewshire,21000,20000,20000,20000,21000,22000,22000,22000,22000,23000
Falkirk,60000,58000,62000,61000,63000,65000,64000,66000,66000,67000
Fife,137000,133000,134000,131000,135000,140000,139000,142000,143000,139000
Glasgow City,420000,395000,396000,387000,394000,406000,408000,420000,407000,416000
Highland,119000,116000,117000,114000,121000,124000,123000,126000,123000,125000
Inverclyde,29000,30000,30000,28000,29000,30000,30000,32000,29000,29000
Midlothian,27000,26000,27000,27000,29000,30000,30000,31000,32000,32000
Moray,39000,37000,38000,37000,37000,39000,38000,38000,39000,38000
Na h-Eileanan Siar,16000,16000,15000,15000,15000,15000,15000,15000,15000,16000
North Ayrshire,42000,42000,41000,40000,41000,42000,42000,43000,43000,42000
North Lanarkshire,131000,127000,122000,123000,126000,135000,132000,131000,137000,138000
Orkney Islands,13000,13000,12000,12000,12000,12000,12000,13000,13000,13000
Perth and Kinross,69000,67000,68000,66000,68000,70000,69000,68000,68000,69000
Renfrewshire,80000,77000,76000,72000,73000,77000,86000,85000,86000,89000
Scottish Borders,47000,45000,47000,44000,45000,47000,46000,47000,46000,48000
Shetland Islands,18000,18000,16000,16000,16000,17000,17000,16000,16000,16000
South Ayrshire,50000,48000,48000,46000,47000,47000,48000,49000,48000,49000
South Lanarkshire,124000,117000,125000,119000,122000,119000,121000,121000,120000,120000
Stirling,48000,47000,42000,43000,46000,46000,47000,48000,48000,49000
West Dunbartonshire,33000,32000,32000,30000,30000,30000,32000,31000,31000,32000
West Lothian,82000,78000,76000,76000,74000,80000,79000,78000,78000,78000
