Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,106000,111700,116600,115500,116200,120100,121800,118300,123000,123300,122100,124600,114200,120800,120400,128200
Aberdeenshire,121700,122700,127700,131100,131300,133100,135300,134700,136200,135800,138800,139000,134700,138200,136000,138400
Angus,51300,52800,55700,55200,55900,54100,53500,53100,54800,53700,52100,54500,57300,54100,55100,54700
Argyll and Bute,42200,41900,44300,43300,42800,41300,40200,39600,38300,41300,41600,40300,41900,40500,41000,40000
City of Edinburgh,227200,234800,233700,239200,241300,234000,230900,237500,244100,241800,252400,251600,255200,273100,279100,273200
Clackmannanshire,21900,22500,22600,22700,23200,23100,25800,22200,21800,22400,22400,24200,22600,23700,24200,24100
Dumfries and Galloway,71100,71600,73000,71000,71100,71400,69400,65100,65000,66300,67800,71200,69600,71000,66400,68600
Dundee City,62500,66000,65800,66200,66400,65900,67500,65000,64100,60800,61900,63500,65700,65500,66200,66900
East Ayrshire,54300,53100,55500,55700,57600,54300,56300,53800,53300,53600,55000,54400,51300,55200,53500,57100
East Dunbartonshire,53400,53500,53800,52200,50400,49800,49700,49600,49200,51600,48500,50000,50600,50600,52200,52000
East Lothian,43400,45000,46100,47300,47400,47400,45600,46700,47900,49100,47800,48600,48100,51000,54200,53200
East Renfrewshire,43900,44200,43800,43200,42700,41600,41500,42500,41800,43000,44300,43200,45800,44800,44200,43900
Falkirk,73100,73200,75600,76400,77100,73500,74100,73800,75400,76500,75600,76300,78800,78100,78300,76700
Fife,174700,175000,174200,174100,174200,169700,170100,167300,167100,166200,174000,171900,174600,174800,176700,172000
Glasgow City,239700,245000,242700,251600,255700,247900,248800,260000,242600,255300,263600,280800,290400,290300,282400,298000
Highland,111700,111300,111900,115300,115700,120300,118600,118200,113900,112700,117900,121600,116000,121400,120900,118000
Inverclyde,35500,36400,37300,36100,38100,35600,37600,35700,34100,36100,36400,34300,35200,36100,36600,33800
Midlothian,40800,40500,40800,41400,42000,40300,39400,40700,41200,39700,42100,41800,43200,45800,45900,47000
Moray,43300,43400,45400,46100,48300,46900,48100,46700,45200,47100,46200,44700,46100,45600,44800,46500
Na h-Eileanan Siar,12900,13300,13300,13500,13500,12300,12000,11200,12200,12200,13100,13200,13300,13100,12800,13500
North Ayrshire,58000,61300,60100,61100,61300,57400,56400,54600,54500,52400,61500,55000,55300,57600,59400,58800
North Lanarkshire,149000,149800,155400,157100,153000,162200,153200,153500,156600,157500,159400,160600,170100,164200,168500,165800
Orkney Islands,10600,10600,10800,11200,11000,11800,11100,11100,11200,11500,12600,11900,12100,12300,12200,12100
Perth and Kinross,65800,65900,68100,67700,69300,68700,67300,69000,69300,70200,71900,74400,73200,73000,73800,80200
Renfrewshire,82400,81700,84700,82700,83600,82200,78800,77700,82500,82400,83600,84900,86200,88000,86000,88800
Scottish Borders,53600,52300,54100,55800,56000,53900,51000,52700,52300,53800,57100,54600,53300,54100,52500,54700
Shetland Islands,12200,12000,12000,12600,12800,12600,12900,12600,12400,12400,12100,13100,12900,12300,13100,11900
South Ayrshire,50800,50800,51300,53200,51200,50200,47700,47100,50400,51200,50300,51300,50000,50700,47500,50200
South Lanarkshire,147900,145900,152600,157300,153000,149600,149500,150600,156100,150900,153100,158500,153700,154300,158800,154900
Stirling,42400,41700,41500,42900,42300,41600,40200,41100,39000,41700,43800,42200,44400,44900,44400,45200
West Dunbartonshire,41800,41700,43600,43800,42100,40700,40200,40800,39800,38400,39500,40400,41500,41900,41800,42800
West Lothian,84800,82100,85900,85700,87600,84300,85300,83600,86500,84500,90200,86200,88900,91900,89500,92800
