Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,9000,8900,8900,7300,7600,6100,8100,8200,9900,10900,8700,9500,11800,13600,12300,12900
Aberdeenshire,18100,15600,17500,17600,17700,17900,21100,20600,19600,17300,18300,17400,18600,23700,19200,18300
Angus,6200,6400,7200,7600,7700,7600,7300,7100,6700,8000,7700,7200,8900,8300,6800,7900
Argyll and Bute,7300,7000,7100,7000,7000,6700,7600,6100,7400,7500,7400,7200,7400,7400,8400,8200
City of Edinburgh,25400,24000,25600,26200,27800,27600,27900,26700,32400,32000,23500,28200,33200,26900,28400,37000
Clackmannanshire,2100,1900,2100,2100,1800,2100,2200,2000,2700,2100,2300,1800,2000,2000,2200,2000
Dumfries and Galloway,10300,10400,12000,11300,11900,11400,11400,11100,13000,13300,13800,13900,12900,14300,14600,12900
Dundee City,3600,4400,5200,4800,5900,5900,5800,4700,4500,3800,5300,6100,7000,8100,6600,8500
East Ayrshire,5100,4300,5200,6100,6100,5400,5600,5800,6100,5600,6200,5700,6600,8000,6300,8300
East Dunbartonshire,5700,5800,5400,5200,6500,7100,6500,6900,7000,7000,7000,5600,6500,6100,5900,6100
East Lothian,5700,6100,6200,6300,5700,5200,5600,6700,7100,7400,8700,8000,6200,7700,8400,5600
East Renfrewshire,5900,5500,4900,5800,5300,5300,5000,5800,5500,5400,5800,5800,6300,6900,5800,5700
Falkirk,6000,5400,5800,6200,5500,6400,6700,7000,6500,7400,7900,7900,8200,7400,6300,6500
Fife,13400,14600,17600,14600,11200,14700,13800,16700,18300,14600,18100,17900,21200,12400,18700,21400
Glasgow City,16700,18400,21500,22000,24800,23700,18600,25900,27300,22100,31300,32000,31600,39600,29800,33100
Highland,16400,14900,16900,14800,14900,14900,17000,18300,18100,20100,19500,15800,18800,15800,16700,16200
Inverclyde,2800,2600,3600,2900,2600,2700,3300,3400,3700,2800,3100,3900,3600,3200,3200,2700
Midlothian,3600,4400,3900,4200,4100,4800,4800,4900,5400,5700,6700,6400,5900,4300,5200,5100
Moray,5400,6300,5800,5600,7000,5800,6500,5700,5900,5600,5500,5300,6900,7000,8000,6900
Na h-Eileanan Siar,1300,1600,1600,2000,1800,1300,1700,1800,1800,2000,1800,2100,2000,1500,2200,2000
North Ayrshire,5200,5700,5600,5300,5600,4700,6000,6700,5300,6300,7100,6600,8000,6800,6100,5300
North Lanarkshire,9600,10300,13000,16000,16700,12000,12200,13900,13600,13500,14600,13700,16700,14200,18100,12000
Orkney Islands,1700,2000,2300,2600,1600,1700,1800,1900,1900,2300,2200,2100,2000,2700,1900,1900
Perth and Kinross,8600,8200,9400,10300,9200,9200,8900,9800,9600,9500,11000,11400,12500,10600,11100,15800
Renfrewshire,6200,5500,5400,6100,5600,6000,7700,8300,8000,8700,8000,7900,7600,10200,7500,7400
Scottish Borders,8800,8100,7600,8700,9100,9300,8700,9200,9700,9700,9900,9700,10800,10300,10000,11400
Shetland Islands,1600,1700,1600,1500,1800,1500,1700,1800,1500,1500,1200,1600,1200,1300,1900,1500
South Ayrshire,6200,5700,6100,6100,6300,7500,6200,6700,6800,7100,6700,6500,6200,7000,6400,7800
South Lanarkshire,14200,13700,14500,12300,14300,15400,14700,15000,18700,14500,17000,17800,21400,17900,23600,19500
Stirling,5900,5900,5100,5700,5600,5400,6200,5800,6900,5400,5600,4800,6600,6900,5600,5600
West Dunbartonshire,2800,2600,3400,3200,3300,3500,3300,3300,2400,2400,3400,2600,2600,3300,2800,4000
West Lothian,6500,5600,6400,6900,6400,6700,7300,6400,8300,6500,7400,5600,8200,9800,11400,10200
