Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,0.14,0.08,0.08,0.06,0.07,0.05,0.07,0.07,0.08,0.09,0.07,0.08,0.1,0.11,0.1,0.10
Aberdeenshire,0.14,0.13,0.14,0.13,0.14,0.13,0.16,0.15,0.14,0.13,0.13,0.13,0.14,0.17,0.14,0.13
Angus,0.13,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.12,0.15,0.15,0.13,0.16,0.15,0.12,0.14
Argyll and Bute,0.15,0.17,0.16,0.16,0.16,0.16,0.19,0.15,0.2,0.18,0.18,0.18,0.18,0.18,0.21,0.21
City of Edinburgh,0.15,0.1,0.11,0.11,0.12,0.12,0.12,0.11,0.13,0.13,0.09,0.11,0.13,0.1,0.1,0.14
Clackmannanshire,0.16,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.12,0.1,0.1,0.08,0.09,0.08,0.09,0.08
Dumfries and Galloway,0.16,0.15,0.17,0.16,0.17,0.16,0.16,0.17,0.2,0.2,0.2,0.2,0.19,0.2,0.22,0.19
Dundee City,0.15,0.07,0.08,0.07,0.09,0.09,0.09,0.07,0.07,0.06,0.09,0.1,,0.12,0.1,0.13
East Ayrshire,0.14,0.08,0.09,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.13,0.15,0.12,0.15
East Dunbartonshire,0.16,0.11,0.1,0.1,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.11,0.13,0.12,0.11,0.12
East Lothian,0.15,0.13,0.14,0.13,0.12,0.11,0.12,0.14,0.15,0.15,0.18,0.17,0.13,0.15,0.16,0.11
East Renfrewshire,0.16,0.13,0.11,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.14,0.14,0.16,0.13,0.13
Falkirk,0.08,0.07,0.08,0.08,0.07,0.09,0.09,0.09,0.09,0.1,0.11,0.1,0.1,0.09,0.08,0.09
Fife,0.08,0.08,0.1,0.08,0.06,0.09,0.08,0.1,0.11,0.09,0.1,0.1,0.12,0.07,0.11,0.12
Glasgow City,0.07,0.08,0.09,0.09,0.1,0.1,0.08,0.1,0.11,0.09,0.12,0.11,0.11,0.14,0.11,0.11
Highland,0.15,0.13,0.15,0.13,0.13,0.12,0.14,0.16,0.16,0.18,0.17,0.13,0.16,0.13,0.14,0.14
Inverclyde,0.08,0.07,0.1,0.08,0.07,0.08,0.09,0.1,0.11,0.08,0.09,0.11,0.1,0.09,0.09,0.08
Midlothian,0.09,0.11,0.1,0.1,0.1,0.12,0.12,0.12,0.13,0.14,0.16,0.15,0.14,0.1,0.11,0.11
Moray,0.12,0.15,0.13,0.12,0.15,0.12,0.14,0.12,0.13,0.12,0.12,0.12,0.15,0.15,0.18,0.15
Na h-Eileanan Siar,0.1,0.12,0.12,0.15,0.13,0.11,0.14,0.16,0.14,0.16,0.14,0.16,0.15,0.12,0.17,0.15
North Ayrshire,0.09,0.09,0.09,0.09,0.09,0.08,0.11,0.12,0.1,0.12,0.12,0.12,0.15,0.12,0.1,0.09
North Lanarkshire,0.06,0.07,0.08,0.1,0.11,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.11,0.07
Orkney Islands,0.16,0.19,0.21,0.23,0.15,0.14,0.16,0.17,0.17,0.2,0.18,0.18,0.16,0.22,0.16,0.16
Perth and Kinross,0.13,0.12,0.14,0.15,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.17,0.15,0.15,0.20
Renfrewshire,0.08,0.07,0.06,0.07,0.07,0.07,0.1,0.11,0.1,0.11,0.1,0.09,0.09,0.12,0.09,0.08
Scottish Borders,0.16,0.15,0.14,0.16,0.16,0.17,0.17,0.18,0.19,0.18,0.17,0.18,0.2,0.19,0.19,0.21
Shetland Islands,0.13,0.14,0.14,0.12,0.14,0.12,0.14,0.14,0.12,0.12,0.1,0.12,0.09,0.11,0.14,0.12
South Ayrshire,0.12,0.11,0.12,0.12,0.12,0.15,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.16
South Lanarkshire,0.1,0.09,0.1,0.08,0.09,0.1,0.1,0.1,0.12,0.1,0.11,0.11,0.14,0.12,0.15,0.13
Stirling,0.14,0.14,0.12,0.13,0.13,0.13,0.16,0.14,0.18,0.13,0.13,0.12,0.15,0.16,0.13,0.12
West Dunbartonshire,0.07,0.06,0.08,0.07,0.08,0.09,0.08,0.08,0.06,0.06,0.09,0.07,0.06,0.08,0.07,0.09
West Lothian,0.08,0.07,0.07,0.08,0.07,0.08,0.09,0.08,0.1,0.08,0.08,0.06,0.09,0.11,0.13,0.11
