Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,0.01,0.008,0.009,0.008,0.008,0.007,0.01,0.01,0.01,0.01,0.009,0.009,0.011,0.011,0.012,0.008
Aberdeenshire,0.006,0.006,0.007,0.005,0.005,0.005,0.007,0.007,0.008,0.008,0.006,0.006,0.008,0.008,0.008,0.006
Angus,0.008,0.008,0.009,0.008,0.008,0.009,0.012,0.012,0.012,0.012,0.01,0.009,0.008,0.01,0.01,0.008
Argyll and Bute,0.008,0.008,0.008,0.008,0.008,0.009,0.011,0.012,0.013,0.012,0.009,0.009,0.008,0.008,0.008,0.008
City of Edinburgh,0.01,0.009,0.01,0.008,0.009,0.009,0.011,0.011,0.012,0.014,0.01,0.01,0.009,0.009,0.01,0.007
Clackmannanshire,0.013,0.012,0.013,0.013,0.013,0.016,0.016,0.022,0.024,0.023,0.017,0.012,0.012,0.013,0.012,0.009
Dumfries and Galloway,0.008,0.007,0.009,0.008,0.009,0.009,0.011,0.013,0.015,0.013,0.01,0.009,0.008,0.008,0.009,0.008
Dundee City,0.013,0.011,0.013,0.012,0.011,0.013,0.015,0.015,0.017,0.019,0.015,0.015,0.013,0.012,0.014,0.012
East Ayrshire,0.011,0.011,0.012,0.011,0.011,0.013,0.014,0.016,0.018,0.019,0.014,0.013,0.012,0.014,0.013,0.011
East Dunbartonshire,0.007,0.006,0.008,0.006,0.008,0.009,0.011,0.01,0.012,0.011,0.009,0.009,0.007,0.009,0.008,0.006
East Lothian,0.008,0.007,0.008,0.007,0.007,0.008,0.012,0.012,0.013,0.013,0.01,0.01,0.009,0.011,0.009,0.007
East Renfrewshire,0.007,0.007,0.008,0.007,0.007,0.009,0.011,0.01,0.012,0.013,0.009,0.009,0.007,0.009,0.009,0.007
Falkirk,0.009,0.009,0.011,0.009,0.008,0.011,0.013,0.013,0.014,0.014,0.011,0.01,0.009,0.011,0.009,0.009
Fife,0.01,0.009,0.011,0.01,0.011,0.012,0.014,0.013,0.015,0.016,0.011,0.012,0.01,0.011,0.011,0.01
Glasgow City,0.013,0.013,0.014,0.012,0.012,0.013,0.016,0.016,0.019,0.019,0.016,0.015,0.012,0.013,0.013,0.01
Highland,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.009,0.011,0.012,0.008,0.008,0.008,0.009,0.009,0.008
Inverclyde,0.013,0.011,0.013,0.013,0.012,0.014,0.015,0.016,0.02,0.016,0.013,0.014,0.011,0.014,0.013,0.012
Midlothian,0.008,0.008,0.011,0.008,0.008,0.01,0.013,0.013,0.014,0.014,0.011,0.01,0.009,0.009,0.01,0.007
Moray,0.008,0.007,0.008,0.007,0.007,0.007,0.009,0.009,0.01,0.01,0.008,0.008,0.008,0.01,0.01,0.008
Na h-Eileanan Siar,0.012,0.011,0.014,0.011,0.012,0.016,0.019,0.021,0.017,0.018,0.013,0.012,0.01,0.01,0.009,0.008
North Ayrshire,0.012,0.011,0.013,0.011,0.012,0.014,0.017,0.018,0.02,0.021,0.013,0.016,0.014,0.015,0.013,0.012
North Lanarkshire,0.01,0.01,0.011,0.01,0.011,0.012,0.015,0.015,0.017,0.016,0.012,0.012,0.009,0.012,0.011,0.01
Orkney Islands,0.008,0.008,0.01,0.008,0.007,0.006,0.009,0.011,0.012,0.012,0.009,0.009,0.01,0.009,0.008,0.008
Perth and Kinross,0.007,0.007,0.008,0.007,0.007,0.007,0.01,0.009,0.011,0.011,0.008,0.008,0.007,0.008,0.009,0.006
Renfrewshire,0.009,0.009,0.01,0.009,0.009,0.011,0.014,0.015,0.016,0.015,0.012,0.011,0.009,0.011,0.011,0.009
Scottish Borders,0.006,0.007,0.008,0.006,0.007,0.008,0.011,0.01,0.011,0.011,0.008,0.008,0.009,0.009,0.009,0.008
Shetland Islands,0.008,0.009,0.011,0.007,0.007,0.007,0.009,0.009,0.012,0.011,0.01,0.008,0.01,0.01,0.011,0.012
South Ayrshire,0.01,0.009,0.011,0.009,0.009,0.011,0.014,0.015,0.016,0.015,0.012,0.011,0.01,0.011,0.011,0.01
South Lanarkshire,0.009,0.009,0.01,0.008,0.008,0.01,0.012,0.012,0.013,0.015,0.011,0.01,0.009,0.01,0.01,0.008
Stirling,0.009,0.008,0.01,0.008,0.01,0.011,0.013,0.013,0.017,0.016,0.011,0.011,0.009,0.01,0.01,0.01
West Dunbartonshire,0.011,0.011,0.012,0.011,0.012,0.013,0.016,0.016,0.018,0.018,0.014,0.014,0.011,0.012,0.011,0.01
West Lothian,0.008,0.008,0.01,0.009,0.009,0.011,0.012,0.013,0.013,0.014,0.01,0.01,0.009,0.009,0.01,0.007
