Area,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,532.1,538.4,574.9,585.7,574.9,606.3,632.3,614.5,609.9,585.2,618.3,646.5
Aberdeenshire,467.8,497.8,522.4,481.1,500,495.8,507.3,532.7,535.7,519,574.9,570.7
Angus,440,419,432.3,416.1,435.5,431.5,438.7,439.5,475.1,460.1,499.2,490.3
Argyll and Bute,443.2,463.3,464.2,495,471.8,468.3,509.2,532,526.9,500.1,554.3,536.2
City of Edinburgh,497.8,513.7,527.4,526.8,536.6,569.1,570.4,574.9,569.2,598.5,613.3,618.4
Clackmannanshire,421.1,499.3,494.8,512.6,460,493.9,462.5,490.7,496.6,504.6,532.3,547
Dumfries and Galloway,416.8,434.3,443.3,420.1,400,436.2,437.5,443.6,456.6,466.3,472.3,470.3
Dundee City,465.3,465.4,482.9,467.3,483.9,494.5,514.2,523.6,505.3,553.6,558,579
East Ayrshire,455.8,438.5,457.9,482.5,488.8,493.5,495.8,493.7,517.1,525.7,574.5,570.8
East Dunbartonshire,479.4,478.3,526.9,490.2,507.4,522.9,472.8,476.6,470.7,503.2,513.2,509.7
East Lothian,473.1,421.9,481,461.4,472.2,495.4,507.7,513.5,532.6,515.1,538.4,576.3
East Renfrewshire,502.5,469.5,432.6,417,398.8,438.8,445.1,508.6,476.2,455.3,490.2,491.9
Falkirk,426,460,499.6,482.1,510.7,493.1,517.3,495.8,528,537.6,605.7,591
Fife,436.3,437.4,452.8,435.9,452.5,459.3,479.1,489.1,516.5,500,520.3,546.2
Glasgow City,459.8,476,476.8,486.4,498.9,523.6,539.1,538.3,546.7,558.2,573.5,589.2
Highland,416.1,450.8,456.8,451.5,460.5,466.5,477.3,476.5,523.2,536.6,549.9,568.2
Inverclyde,392.2,465.9,481.4,464.4,464.4,470.2,502.3,532.3,547.6,541.6,662.5,588
Midlothian,456.6,474.3,490.3,487.1,483.8,533.4,478.5,508.1,544.2,563.1,548.6,560.8
Moray,390.8,407.7,418.7,455.6,453.4,465.8,452.1,489.8,488.1,502.1,549.5,569.9
Na h-Eileanan Siar,458.6,492.8,459.9,438.7,439.3,514.2,445.5,454.1,470.2,477.9,475.7,524.7
North Ayrshire,453.2,446.6,508.9,489.2,442.9,466.6,502.8,493,510.5,538.7,536.3,540
North Lanarkshire,465.4,458.9,479.3,475.5,490.5,487.9,490.3,498.3,497.6,532.1,559.7,581
Orkney Islands,,428.9,453,413.3,,522.4,510.3,501.9,517.8,518.9,634.9,598.8
Perth and Kinross,448.7,418.2,428.7,444.8,457.6,451.1,447.7,517.5,497.9,517.5,529.4,534.5
Renfrewshire,517.3,509.4,517.4,520.1,532.4,541.1,535.8,522,495.4,517.2,530.4,536.1
Scottish Borders,370.1,381.3,418,397.6,403.3,452.3,456.2,456.1,452.2,467.8,482.8,507.3
Shetland Islands,543.8,516.8,502.3,545.6,531.9,595.1,519.2,587.5,649.8,607.2,644.8,585.4
South Ayrshire,491.5,494.1,516.3,514.4,499.9,519.7,533.1,554,513.9,542.1,584.1,584.3
South Lanarkshire,461.6,470.4,457.2,479.4,498.6,503,532.2,536.1,574.7,579.4,571.3,581.4
Stirling,454.1,460.2,506.7,510.3,552.3,528.8,499.4,504.8,516.8,533.8,567.6,617.8
West Dunbartonshire,406.1,419.4,472.1,442.4,475.2,496.6,475.2,504,512.6,530.5,543.5,582.7
West Lothian,422.1,427.3,443.4,460.8,477.8,474.1,489.2,498.3,506.1,537,558.2,588.7
