Area,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,4.2,3.5,3.8,3.4,4,3.6,3.9,3.4,3.6,4.2,3.8,4
Aberdeenshire,6.4,4.7,5.4,4.7,4.7,5.1,5.6,4.9,4.7,4.2,4.4,3.6
Angus,7.3,8.1,7.1,5.2,8.2,6.8,6.1,8,6.8,9.3,7.4,6.9
Argyll and Bute,9,8.9,7,7.8,9.3,8.3,8.3,6.4,9.3,9.2,8.6,10
City of Edinburgh,3,2.3,2.6,2.6,2.5,1.9,2,2.3,2.2,2.2,2.8,2.7
Clackmannanshire,15,14,9.9,11,12,9,8.6,11,9.8,10,13,9.8
Dumfries and Galloway,7.3,5.1,5.3,6.6,6.2,5.3,6.2,6.6,6.7,7,5.2,5.7
Dundee City,5.9,4.7,4.3,4.4,5.1,4,5.1,4.6,4.9,3.5,4.4,3.7
East Ayrshire,9.9,9.2,8.1,8.2,5.4,5.5,6.9,6.7,6.3,6.4,5.6,7.5
East Dunbartonshire,14,13,11,12,13,12,11,13,15,12,11,12
East Lothian,10,8.3,7.2,6.5,6.9,8.5,9.2,7.7,8.7,7.7,5.2,8.3
East Renfrewshire,12,15,16,14,12,12,17,16,12,8.6,10,8.8
Falkirk,6.5,5.3,5.9,5.3,5.5,4.8,5.5,5.9,4.8,5.5,5.1,4.8
Fife,5.1,5,4.4,3.8,5,3.2,3.9,4,4.1,3.6,3.5,3.7
Glasgow City,2.4,2.3,2.1,2.2,2,2.2,1.9,2,2.2,1.8,1.9,2.1
Highland,5.2,3.5,4,3.8,3.8,3.5,4.2,4.4,3.9,3.9,4,3.4
Inverclyde,7.9,8.9,6.7,8.7,8,9,9,11,9.3,8.5,8.9,14
Midlothian,8.8,9.2,7.3,8.4,10,7.7,8.8,8.5,6.4,6.7,8.2,6.2
Moray,8.8,8.9,9.3,6.8,8.7,8.6,7.6,9.5,8.4,7.3,9.2,9.2
Na h-Eileanan Siar,14,12,8.2,12,12,11,9.8,10,7.4,9.6,9.2,10
North Ayrshire,8.1,9.5,7.7,8.2,9.3,7.8,7.4,6,7,6.4,6.9,4.9
North Lanarkshire,4.8,3.9,4.3,2.7,3.7,3.8,3.7,3.4,3.6,3.5,3.4,3.9
Orkney Islands,,15,20,19,,19,17,14,16,17,15,13
Perth and Kinross,5.6,4.9,6.3,5,5.7,5.2,6.4,5.3,5.3,5.3,4.6,4.3
Renfrewshire,5.8,4.8,4,4.7,3.9,4.9,4.7,4.3,5.5,5.1,5.1,4.4
Scottish Borders,9.1,5.8,5.4,6.1,5.7,5.2,5.2,5,5.3,7.7,6.6,5.7
Shetland Islands,15,13,9.6,11,10,10,12,7.7,9.7,8.5,10,12
South Ayrshire,9.6,8.5,5.6,7.4,9.2,8.9,7.2,5.6,8.3,8.9,7,7.4
South Lanarkshire,4.9,4.3,5.4,4.1,3.7,4.5,4.8,3.8,2.7,4.1,4.2,4
Stirling,7.6,7.6,7.7,7.4,6.9,6.9,8,7.1,7.5,6.8,7.3,7.3
West Dunbartonshire,9.7,9.3,9.5,8.3,9.6,8,8.3,7.9,7.9,6.9,6.7,7.2
West Lothian,4.3,4.3,4.5,4.5,5.3,4,4,3.3,4,3.5,4.1,3.5
