Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,214120,216140,218250,219500,219880,218350,217300,215650,214630,213340,211910,210680,209280,207820,208690,209630,212470,214020,217020,219730,222460,224910,227070,228920,230350,229840,228800,227560,228670
Aberdeenshire,215870,219970,223100,225560,226070,226990,226020,226220,227240,227020,226940,228830,231250,234690,237570,241180,244390,246830,249020,251430,253650,255560,257770,260530,261960,262190,261800,261470,261210
Angus,108400,109900,110910,111550,111560,110570,110000,109790,109560,108850,108370,108810,108700,110170,111340,112500,113540,114490,114830,115410,116200,116220,116290,116740,116900,116520,116280,116040,116200
Argyll and Bute,93520,91680,91170,91910,91950,91740,91720,91670,91640,91050,91300,91020,90930,90580,90340,90860,90790,89910,89450,88620,88930,86910,88050,87650,86890,87130,86810,86260,85870
City of Edinburgh,436320,436670,438300,440120,443860,444910,445720,446240,447190,448430,449020,447500,445300,445870,449470,452040,456040,458520,463230,469930,477940,482630,487460,492610,498810,507170,513210,518500,524930
Clackmannanshire,48100,48170,48390,48590,48570,48560,48560,48410,48240,48170,48070,48140,48140,48680,49160,49540,50600,51190,51290,51330,51500,51280,51280,51190,51360,51350,51450,51400,51540
Dumfries and Galloway,147170,147650,147940,148130,148520,148520,148520,148740,148230,147540,147780,147670,147860,148700,149620,149770,150370,151010,151160,151100,151410,150840,150280,149960,149670,149520,149200,148790,148860
Dundee City,155550,154960,154000,152200,152460,152200,151350,149680,147970,146610,145460,144370,,143100,143600,143360,143700,144290,145170,146060,147200,147780,148100,148130,148210,148270,148710,148750,149320
East Ayrshire,124020,123810,123540,123250,122790,122000,121440,121000,120550,120120,120310,119920,119850,120210,120280,120440,120950,121600,122110,122410,122690,122730,122430,122130,122060,122200,121940,121840,122010
East Dunbartonshire,110170,109680,109270,109540,109850,109300,109280,109040,108670,108620,108250,107350,107000,106540,106040,105590,105050,104940,104960,104920,105000,105880,105840,106710,106960,107540,108130,108330,108640
East Lothian,84440,84510,84880,85900,86600,86990,87730,88360,89110,89910,90180,91060,91640,92170,92730,93850,95570,97480,98340,99140,99920,100860,101390,102090,103050,104090,104840,105790,107090
East Renfrewshire,85770,86050,86490,86660,87530,87410,87890,88310,88520,89040,89410,89930,89870,89790,89880,89750,89840,89870,89980,90410,90810,91040,91530,92410,92940,93810,94760,95170,95530
Falkirk,142500,142400,142240,142280,142680,143040,143340,143880,144570,144650,145270,145920,146800,148300,150130,151090,152320,153290,154210,155130,156250,156800,157160,157690,158460,159380,160130,160340,160890
Fife,347360,347910,349260,350190,349720,347430,346540,346540,347030,348340,349770,350740,351360,353050,355460,357260,358740,360040,361420,362610,365300,366210,366900,367250,368080,370330,371410,371910,373550
Glasgow City,629220,622210,616680,612260,604080,598840,590660,587050,582950,577020,578710,576450,572270,569560,569250,568460,571760,576200,581620,586500,593060,595070,596520,599640,606340,615070,621020,626410,633120
Highland,203790,205670,206740,207380,208220,208650,208560,208850,209200,209130,208920,209760,211640,214560,218060,220780,224000,226970,228750,230730,232730,232890,232930,233080,234110,234770,235180,235540,235830
Inverclyde,91390,90850,89890,89320,88640,87060,86460,85840,85300,84660,84150,83730,83300,82690,82680,82320,82110,82000,81670,81510,81220,80690,80340,79890,79500,79160,78760,78150,77800
Midlothian,79530,79050,79030,79060,78860,78960,79550,80120,80630,81110,80950,80880,80280,80230,80050,79990,80370,81550,81900,82360,83450,84240,84710,86220,87390,88610,90090,91340,92460
Moray,83990,85380,86520,87850,87870,87430,87160,86800,86800,86720,87000,87690,88830,89380,90100,90780,91440,92840,93160,93690,93470,92930,94360,94770,95510,96070,95780,95520,95820
Na h-Eileanan Siar,29330,29240,29260,29120,28810,28600,27910,27540,27210,26790,26450,26350,26430,26650,26930,27060,27210,27280,27420,27600,27690,27560,27400,27250,27070,26900,26950,26830,26720
North Ayrshire,138060,137700,137660,137550,137800,137610,137690,137470,137160,136360,135820,135890,136310,136500,136690,136790,137420,137910,137830,137800,138090,137570,136940,136480,136130,135890,135790,135280,134740
North Lanarkshire,326900,325840,324200,323830,323450,322300,322510,322180,322160,321390,321180,322520,323700,325400,327140,328740,331160,333280,335160,336280,337720,337890,337780,338000,338260,339390,339960,340180,341370
Orkney Islands,19520,19670,19710,19750,19810,19730,19770,19590,19420,19290,19220,19330,19540,19830,20070,20340,20580,20740,20940,21220,21420,21530,21560,21580,21670,21850,22000,22190,22270
Perth and Kinross,127370,129300,130570,132230,133220,133130,133980,134580,135200,134970,134950,135130,135960,136900,138060,139380,141140,143130,144370,145600,146850,147740,147770,148930,149930,150680,151100,151290,151950
Renfrewshire,175690,175280,175320,175460,176430,176390,175800,175320,174390,173680,172850,172300,171560,171470,171430,171270,171870,172640,173020,173700,174700,174300,173890,174230,174560,175930,176830,177790,179100
Scottish Borders,103830,104540,105040,105450,105940,105860,105960,106040,105810,106250,106950,107530,108390,109450,110250,110860,112200,113360,113590,113700,113880,113720,113880,114040,114030,114530,115020,115270,115510
Shetland Islands,22530,22600,22760,22790,22970,22860,22830,22700,22510,22180,21960,22000,21950,22090,22250,22210,22350,22480,22800,23060,23240,23210,23200,23220,23200,23200,23080,22990,22920
South Ayrshire,113120,113100,113280,113550,113620,113540,113620,113320,112850,112290,112160,111690,111550,111840,112030,112100,112380,112610,112490,112600,112980,112920,112870,112530,112400,112470,112680,112550,112610
South Lanarkshire,302530,303220,303950,305220,304930,304760,304440,303330,302580,302270,302340,302770,303480,305660,306850,308450,310370,311310,312180,313180,313900,314330,314810,315300,316230,317100,318170,319020,320530
Stirling,80930,81050,81430,81980,82420,83060,84050,84680,85450,86160,86200,86630,87090,86920,87510,88090,88430,88540,88690,89550,90330,91010,91230,91520,92830,93750,94000,94330,94210
West Dunbartonshire,97250,96920,97000,96780,95870,95320,95200,94930,94420,93930,93320,93040,92470,91960,91530,91410,91370,91190,91080,90800,90610,90340,89800,89710,89590,89860,89610,89130,88930
West Lothian,145040,144500,145680,147250,148710,150080,151780,153200,154760,157050,159030,160370,161690,163540,165010,167110,169470,171390,173040,174090,175300,176010,176160,177200,178550,180130,181310,182140,183100
