Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,8380,8620,9140,9500,9990,10195,10040,9715,9505,9615
Aberdeenshire,12795,13030,13505,13775,14235,14480,14485,14325,14185,14270
Angus,3805,3795,3910,3900,4025,4110,4155,4155,4145,4170
Argyll and Bute,4085,4040,4120,4055,4105,4080,4070,4115,4040,4025
City of Edinburgh,15900,15980,16675,16945,17840,18440,19290,19705,19850,20500
Clackmannanshire,1180,1165,1180,1155,1220,1260,1285,1280,1270,1265
Dumfries and Galloway,6795,6685,6750,6640,6770,6770,6705,6670,6690,6725
Dundee City,3425,3350,3430,3460,3605,3735,3760,3840,3775,3855
East Ayrshire,3130,3100,3185,3165,3255,3355,3410,3495,3460,3475
East Dunbartonshire,2725,2715,2810,2785,2940,3025,3165,3200,3180,3200
East Lothian,2825,2815,2930,3015,3095,3120,3260,3320,3360,3415
East Renfrewshire,2315,2300,2425,2435,2575,2640,2730,2810,2790,2810
Falkirk,3675,3670,3780,3840,4000,4090,4200,4245,4195,4195
Fife,8860,8715,8995,8930,9290,9540,9760,10105,10295,10355
Glasgow City,16480,16350,16930,16885,17655,18170,18905,19640,19975,20505
Highland,10775,10695,10990,10975,11225,11340,11485,11395,11440,11605
Inverclyde,1685,1655,1730,1710,1765,1795,1860,1890,1850,1815
Midlothian,2180,2175,2210,2240,2335,2430,2495,2590,2600,2650
Moray,3295,3260,3320,3320,3370,3430,3485,3510,3505,3560
Na h-Eileanan Siar,1135,1100,1155,1155,1190,1240,1230,1225,1255,1245
North Ayrshire,3235,3135,3250,3200,3360,3440,3480,3585,3540,3540
North Lanarkshire,6760,6745,7025,7045,7365,7610,7905,8195,8120,8290
Orkney Islands,1530,1505,1530,1505,1550,1555,1530,1530,1565,1575
Perth and Kinross,6235,6135,6255,6220,6375,6460,6485,6580,6620,6635
Renfrewshire,4585,4510,4600,4605,4770,4855,5015,5115,5130,5210
Scottish Borders,5190,5190,5265,5185,5320,5310,5330,5315,5300,5295
Shetland Islands,1350,1365,1400,1425,1450,1490,1530,1565,1585,1570
South Ayrshire,3705,3675,3730,3665,3730,3780,3880,3950,3885,3930
South Lanarkshire,8360,8215,8445,8400,8810,9030,9285,9490,9500,9655
Stirling,3930,3940,4025,3995,4120,4205,4275,4250,4230,4270
West Dunbartonshire,1790,1785,1850,1845,1920,1950,2040,2075,2045,2045
West Lothian,4425,4360,4470,4505,4745,4860,5065,5155,5215,5340
