Area,2004,2005,2006,20073,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City,675,830,760,1220,935,790,1035,1215,1285,1445,1315,1090,1160,1176,1135
Aberdeenshire,795,1015,895,1385,1045,820,880,1175,1205,1395,1220,1140,1200,1125,1100
Angus,285,315,330,400,315,265,275,310,340,405,400,385,385,370,365
Argyll and Bute,295,375,285,320,275,245,265,260,300,320,295,280,310,270,290
City of Edinburgh,1710,1855,1740,1990,1845,1745,2070,2150,2145,2730,2765,3060,2915,2640,2820
Clackmannanshire,110,145,125,165,135,105,115,135,135,150,165,165,140,150,130
Dumfries and Galloway,395,520,400,445,375,345,315,385,320,435,425,390,390,350,395
Dundee City,320,405,355,370,325,325,345,335,400,515,500,480,500,460,510
East Ayrshire,285,315,275,305,285,255,255,285,310,350,390,390,405,420,365
East Dunbartonshire,250,290,250,340,310,275,280,295,310,400,395,405,390,370,365
East Lothian,220,300,255,265,275,265,250,275,300,350,315,375,355,360,340
East Renfrewshire,210,250,250,280,265,260,250,295,290,360,340,375,370,330,360
Falkirk,370,395,360,440,400,345,395,420,440,550,520,510,520,480,495
Fife,850,900,840,1050,980,865,840,915,920,1210,1170,1260,1410,1350,1225
Glasgow City,1780,2170,1825,2185,2075,1950,2145,2220,2300,2830,2880,3185,3290,3105,3075
Highland,760,920,800,885,855,750,720,765,790,970,960,965,940,905,820
Inverclyde,155,180,180,230,175,160,140,195,190,225,215,250,230,215,210
Midlothian,215,230,225,230,165,220,195,200,205,310,270,280,315,280,285
Moray,210,295,245,235,245,215,200,210,240,285,315,300,285,315,295
Na h-Eileanan Siar,60,90,70,75,90,60,65,80,80,95,105,90,85,90,70
North Ayrshire,280,360,295,355,335,260,290,310,295,415,425,385,475,405,355
North Lanarkshire,695,810,755,920,810,760,800,815,850,1090,1120,1200,1270,1120,1090
Orkney Islands,75,90,60,65,55,65,50,70,60,85,70,60,80,75,60
Perth and Kinross,460,530,485,520,475,445,420,485,520,615,625,565,550,545,485
Renfrewshire,405,515,450,530,475,470,475,475,525,610,605,650,720,650,625
Scottish Borders,360,405,355,420,375,305,315,315,315,395,450,370,380,325,300
Shetland Islands,55,75,65,60,50,45,50,65,75,85,100,90,85,90,75
South Ayrshire,340,345,340,365,320,315,280,340,310,385,380,410,455,400,365
South Lanarkshire,850,890,835,985,875,880,810,905,915,1225,1160,1260,1240,1165,1185
Stirling,315,395,340,390,400,305,355,340,335,420,430,405,405,380,455
West Dunbartonshire,145,200,160,215,180,165,185,185,200,250,265,275,295,260,265
West Lothian,445,530,465,525,505,450,470,515,480,630,645,680,720,620,680
