Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City,39,47,43,68,51,43,55,64,67,75,67,55,59,61,59
Aberdeenshire,42,53,46,70,52,41,43,57,58,67,58,54,56,53,52
Angus,32,35,36,43,34,28,29,32,35,42,41,40,40,38,38
Argyll and Bute,40,50,38,42,37,33,36,35,41,43,40,38,42,37,40
City of Edinburgh,46,49,45,51,47,44,52,53,52,66,66,72,68,61,64
Clackmannanshire,28,37,31,40,33,25,27,32,32,36,39,39,33,35,31
Dumfries and Galloway,32,42,32,36,30,27,25,30,25,35,34,31,31,28,32
Dundee City,27,34,30,31,27,27,28,27,32,41,40,39,40,37,41
East Ayrshire,29,32,28,31,29,25,25,28,31,35,39,39,40,42,36
East Dunbartonshire,29,34,29,40,36,32,32,34,35,46,45,46,44,42,41
East Lothian,30,40,34,34,35,33,31,34,37,42,38,45,42,42,39
East Renfrewshire,30,35,35,39,37,36,34,40,40,49,46,50,49,44,47
Falkirk,31,32,29,35,32,27,31,33,34,43,40,39,40,36,37
Fife,30,31,29,36,33,29,28,30,30,40,39,41,46,44,40
Glasgow City,38,46,39,46,43,40,44,45,46,57,57,63,64,60,58
Highland,44,52,44,48,46,40,38,40,41,50,50,50,48,46,42
Inverclyde,23,27,27,34,26,24,21,29,28,34,32,38,35,33,32
Midlothian,33,36,35,35,25,33,29,30,30,45,39,40,44,38,39
Moray,29,40,33,31,32,28,26,27,31,37,40,38,36,40,37
Na h-Eileanan Siar,28,41,31,33,40,26,28,35,35,41,46,40,38,40,31
North Ayrshire,25,32,27,32,30,23,26,27,26,37,38,34,42,36,32
North Lanarkshire,27,31,29,35,30,28,29,30,31,40,41,44,46,40,39
Orkney Islands,47,55,36,38,32,38,28,39,33,47,39,33,44,41,32
Perth and Kinross,41,47,42,45,40,37,35,40,42,50,50,45,44,43,38
Renfrewshire,29,37,32,38,34,33,33,33,36,42,42,45,49,44,42
Scottish Borders,40,45,39,46,40,33,33,33,33,42,47,39,40,34,31
Shetland Islands,32,43,37,34,28,25,27,35,40,45,53,48,45,48,40
South Ayrshire,37,37,37,39,34,34,30,36,33,41,40,43,48,42,38
South Lanarkshire,34,36,33,39,34,34,31,35,35,47,45,48,47,44,45
Stirling,45,56,47,54,55,42,48,46,45,56,57,52,52,48,58
West Dunbartonshire,19,27,21,29,24,22,25,25,27,34,36,37,40,35,36
West Lothian,34,41,35,39,37,33,34,37,34,45,45,47,50,43,46
