Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,0.06,0.06,0.09,0.09,0.09,0.09,0.10,0.11,0.10,0.09
Aberdeenshire,0.03,0.03,0.04,0.04,0.02,0.03,0.05,0.04,0.04,0.04
Angus,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04
Argyll and Bute,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02
City of Edinburgh,0.06,0.07,0.06,0.07,0.08,0.08,0.09,0.09,0.08,0.09
Clackmannanshire,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.05,0.06
Dumfries and Galloway,0.03,0.04,0.03,0.04,0.04,0.05,0.05,0.03,0.05,0.04
Dundee City,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.05,0.06,0.06
East Ayrshire,0.04,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08
East Dunbartonshire,0.05,0.05,0.04,0.05,0.04,0.05,0.09,0.05,0.06,0.05
East Lothian,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.07
East Renfrewshire,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
Falkirk,0.05,0.07,0.07,0.08,0.06,0.06,0.05,0.05,0.06,0.07
Fife,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.05
Glasgow City,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.06,0.07,0.08
Highland,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
Inverclyde,0.06,0.01,0.02,0.04,0.02,0.01,0.02,0.03,0.02,0.02
Midlothian,0.04,0.05,0.04,0.05,0.06,0.06,0.04,0.04,0.02,0.07
Moray,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03
Na h-Eileanan Siar,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
North Ayrshire,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.09
North Lanarkshire,0.10,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.10
Orkney Islands,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.02
Perth and Kinross,0.03,0.03,0.04,0.03,0.02,0.02,0.04,0.02,0.02,0.02
Renfrewshire,0.06,0.08,0.09,0.09,0.09,0.10,0.09,0.07,0.08,0.08
Scottish Borders,0.03,0.03,0.02,0.04,0.04,0.04,0.05,0.04,0.04,0.05
Shetland Islands,0.05,0.06,0.06,0.06,0.05,0.09,0.13,0.10,0.06,0.07
South Ayrshire,0.03,0.03,0.04,0.03,0.02,0.03,0.04,0.04,0.05,0.04
South Lanarkshire,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09
Stirling,0.05,0.04,0.04,0.03,0.03,0.05,0.04,0.04,0.03,0.04
West Dunbartonshire,0.07,0.07,0.08,0.09,0.07,0.09,0.08,0.10,0.12,0.10
West Lothian,0.10,0.10,0.10,0.11,0.07,0.07,0.07,0.06,0.06,0.07
